사업년도,선정년도,대사업명,중사업명,소사업명,세부사업명,과제명,연구책임자명,연구자번호,주관기관명,보안과제여부
2024,2022,기초연구사업,개인연구,우수신진연구,신진후속,딥러닝 기반 수질 예측 모형,홍길동,1000023,서울대학교,N
2024,2022,기초연구사업,개인연구,우수신진연구,신진후속,양자배터리 충전 제어 특성 연구,홍길동,1000024,KAIST,N
2024,,기초연구사업,개인연구,우수신진연구,신진후속,양자배터리 충전 제어 특성 연구,홍길동,1000025,KAIST,N
2025,2021,기초연구사업,개인연구,우수신진연구,신진후속,도시 열섬 완화를 위한 공간분석,홍길동,1000026,서울대학교,N
2023,2019,기초연구사업,개인연구,우수신진연구,신진후속,양자배터리 충전 제어 특성 연구,홍길동,1000027,국립한밭대학교,N
2024,2019,기초연구사업,개인연구,우수신진연구,신진후속,딥러닝 기반 수질 예측 모형,홍길동,1000028,KAIST,N
2023,2021,기초연구사업,개인연구,우수신진연구,신진후속,고체전해질 계면 안정화 연구,홍길동,1000029,국립한밭대학교,Y
2025,2023,기초연구사업,개인연구,우수신진연구,신진후속,저전력 엣지 AI 가속기 설계,홍길동,1000030,서울대학교,N
2025,2022,기초연구사업,개인연구,우수신진연구,신진후속,강화학습 기반 제조공정 에너지 최적화 연구,홍길동,1000031,KAIST,Y
2024,2022,기초연구사업,개인연구,우수신진연구,신진후속,도시 열섬 완화를 위한 공간분석,홍길동,1000032,국립한밭대학교,Y
2023,2019,기초연구사업,개인연구,우수신진연구,신진후속,도시 열섬 완화를 위한 공간분석,홍길동,1000033,국립한밭대학교,N
2023,2020,기초연구사업,개인연구,우수신진연구,신진후속,단백질 구조 예측 모델 개선,홍길동,1000034,서울대학교,N
2025,2019,기초연구사업,개인연구,우수신진연구,신진후속,산업용 전력 데이터 이상탐지 알고리즘 개발,홍길동,1000035,국립한밭대학교,N
2023,2023,기초연구사업,개인연구,우수신진연구,신진후속,저전력 엣지 AI 가속기 설계,홍길동,1000036,국립한밭대학교,N
2025,2020,기초연구사업,개인연구,우수신진연구,신진후속,도시 열섬 완화를 위한 공간분석,홍길동,1000037,서울대학교,N
2023,2022,기초연구사업,개인연구,우수신진연구,신진후속,저전력 엣지 AI 가속기 설계,홍길동,1000038,국립한밭대학교,Y
2024,2022,기초연구사업,개인연구,우수신진연구,신진후속,단백질 구조 예측 모델 개선,홍길동,1000039,서울대학교,N
2025,2019,기초연구사업,개인연구,우수신진연구,신진후속,양자배터리 충전 제어 특성 연구,홍길동,1000040,서울대학교,N
2025,,기초연구사업,개인연구,우수신진연구,신진후속,단백질 구조 예측 모델 개선,홍길동,1000041,국립한밭대학교,N
2024,2023,기초연구사업,개인연구,우수신진연구,신진후속,딥러닝 기반 수질 예측 모형,홍길동,1000042,국립한밭대학교,N
2023,2024,기초연구사업,개인연구,우수신진연구,신진후속,고체전해질 계면 안정화 연구,홍길동,1000043,KAIST,N
2024,2020,기초연구사업,개인연구,우수신진연구,신진후속,저전력 엣지 AI 가속기 설계,홍길동,1000044,국립한밭대학교,N
2023,2023,기초연구사업,개인연구,우수신진연구,신진후속,딥러닝 기반 수질 예측 모형,홍길동,1000045,국립한밭대학교,Y
2025,2020,기초연구사업,개인연구,우수신진연구,신진후속,딥러닝 기반 수질 예측 모형,홍길동,1000046,서울대학교,N
2024,2019,기초연구사업,개인연구,우수신진연구,신진후속,강화학습 기반 제조공정 에너지 최적화 연구,홍길동,1000047,서울대학교,N
2025,2024,기초연구사업,개인연구,우수신진연구,신진후속,딥러닝 기반 수질 예측 모형,홍길동,1000048,서울대학교,Y
2023,2021,기초연구사업,개인연구,우수신진연구,신진후속,저전력 엣지 AI 가속기 설계,홍길동,1000049,국립한밭대학교,N
2023,2022,기초연구사업,개인연구,우수신진연구,신진후속,딥러닝 기반 수질 예측 모형,홍길동,1000050,서울대학교,N
2025,2023,기초연구사업,개인연구,우수신진연구,신진후속,단백질 구조 예측 모델 개선,홍길동,1000051,국립한밭대학교,Y
2025,,기초연구사업,개인연구,우수신진연구,신진후속,저전력 엣지 AI 가속기 설계,홍길동,1000052,국립한밭대학교,N
2025,,기초연구사업,개인연구,우수신진연구,신진후속,도시 열섬 완화를 위한 공간분석,홍길동,1000053,국립한밭대학교,Y
2025,2022,기초연구사업,개인연구,우수신진연구,신진후속,양자배터리 충전 제어 특성 연구,홍길동,1000054,서울대학교,N
2024,2022,기초연구사업,개인연구,우수신진연구,신진후속,도시 열섬 완화를 위한 공간분석,홍길동,1000055,KAIST,N
2023,2020,기초연구사업,개인연구,우수신진연구,신진후속,양자배터리 충전 제어 특성 연구,홍길동,1000056,국립한밭대학교,N
2025,,기초연구사업,개인연구,우수신진연구,신진후속,단백질 구조 예측 모델 개선,홍길동,1000057,국립한밭대학교,Y
2025,2020,기초연구사업,개인연구,우수신진연구,신진후속,저전력 엣지 AI 가속기 설계,홍길동,1000058,KAIST,N
2025,2019,기초연구사업,개인연구,우수신진연구,신진후속,강화학습 기반 제조공정 에너지 최적화 연구,홍길동,1000059,KAIST,N
2024,2020,기초연구사업,개인연구,우수신진연구,신진후속,저전력 엣지 AI 가속기 설계,홍길동,1000000,KAIST,N
